ctyName,CCISO3,gdp_year,gdp_latest,gdp_growth_year,gdp_growth_latest,lpi_year,lpi_score,distance_from_th,fta_with_th,cte_2018,efi_score_2019,st_political risk,mlt_political risk,commercial risk,transfer restriction risk
Denmark,DNK,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Djibouti,DJI,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Dominica,DMA,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Dominican Rep.,DOM,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Ecuador,ECU,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Egypt,EGY,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
El Salvador,SLV,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Equatorial Guinea,GNQ,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Eritrea,ERI,2011.0,YES,2011.0,YES,2018.0,YES,YES,0,NO,YES,YES,YES,YES,YES
Estonia,EST,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Ethiopia,ETH,2018.0,YES,2018.0,YES,2016.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Faeroe Isds,FRO,2016.0,YES,,NO,,NO,YES,0,NO,NO,YES,YES,YES,YES
Fiji,FJI,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Finland,FIN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
France,FRA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
French Polynesia,PYF,2000.0,YES,2000.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Micronesia,FSM,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Gabon,GAB,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Gambia,GMB,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Georgia,GEO,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Germany,DEU,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Ghana,GHA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Gibraltar,GIB,,NO,,NO,,NO,YES,0,NO,NO,YES,YES,YES,YES
Greece,GRC,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Greenland,GRL,2016.0,YES,2017.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Grenada,GRD,2018.0,YES,2018.0,YES,,NO,YES,0,YES,NO,YES,YES,YES,YES
Guam,GUM,2017.0,YES,2017.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Guatemala,GTM,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Guinea,GIN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Guinea-Bissau,GNB,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Guyana,GUY,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
